company,price,change
Microsoft Corporation (MSFT),29.41,(+0.01%)
International Business Machines Corporation (IBM),29.41,(+0.01%)
GE Aerospace (GE),29.41,(+0.01%)
Union Pacific Corporation (UNP),29.41,(+0.01%)
Costco Wholesale Corporation (COST),29.41,(+0.01%)
McDonald's Corporation (MCD),29.41,(+0.01%)
Visa Inc. (V),29.41,(+0.01%)
Walmart Inc. (WMT),29.41,(+0.01%)
The Walt Disney Company (DIS),29.41,(+0.01%)
3M Company (MMM),29.41,(+0.01%)
Intel Corporation (INTC),29.41,(+0.01%)
American Express Company (AXP),29.41,(+0.01%)
Apple Inc. (AAPL),29.41,(+0.01%)
The Boeing Company (BA),29.41,(+0.01%)
"Cisco Systems, Inc. (CSCO)",93.86,(+0.11%)
"The Goldman Sachs Group, Inc. (GS)",29.41,(+0.01%)
JPMorgan Chase & Co. (JPM),29.41,(+0.01%)
"Salesforce, Inc. (CRM)",29.41,(+0.01%)
